,StreetAddress,City,State,ZipCode,Latitude,Longitude,Price,YearBuilt,LotSize,HomeType,Zestimate,Bedrooms,Bathrooms,LivingArea,HOA,BrokerageName,LastSoldPrice,HomeStatus,Parking
367,31113 Alvarado Niles Rd,Union City,CA,94587,37.597137,-122.069855,605000,1984,47950,TOWNHOUSE,557600,2,2,1129,396,"Exp Realty Of California, Inc",540000,FOR_SALE,2
368,34725 Alvarado Niles Rd APT 4,Union City,CA,94587,37.58593,-122.018074,529999,1972,0,CONDO,,2,1,798,385,Your Family Realty Center,495000,FOR_SALE,2
369,528 Trinidad Cir,Union City,CA,94587,37.590202,-122.05146,328880,,,MANUFACTURED,296100,3,2,1560,,Legacy Real Estate & Assoc.,153500,FOR_SALE,0
370,4160 Polaris Ave,Union City,CA,94587,37.584618,-122.063835,880000,1974,1794,TOWNHOUSE,952690,4,3,1584,333,Compass,246000,FOR_SALE,0
371,117 Aurora Plz,Union City,CA,94587,37.592342,-122.00384,439000,1985,0,CONDO,444100,2,1,688,335,Coldwell Banker Realty,363000,FOR_SALE,0
372,2139 Eric Ct APT 2,Union City,CA,94587,37.5943,-122.0535,589888,1974,,CONDO,751000,2,1,903,295,Kinetic Real Estate,420000,FOR_SALE,0
373,107 W Bolero Plz #69,Union City,CA,94587,37.592804,-122.00443,570000,1985,38332800,CONDO,,2,2,880,325,E.l.m. Realty Co,,FOR_SALE,1
374,31115 Alvarado Niles Rd,Union City,CA,94587,37.597137,-122.069855,614900,1983,0,CONDO,649400,2,2,1129,369,"Performance Realtors, Inc",505000,FOR_SALE,2
375,33955 Railroad Ave,Union City,CA,94587,37.59551,-122.0195,950000,1908,4791,SINGLE_FAMILY,1061200,2,2,837,,"Exp Realty Of California, Inc",212000,FOR_SALE,3
376,31113 Alvarado Niles Rd,Union City,CA,94587,37.597137,-122.069855,605000,1984,47950,TOWNHOUSE,557600,2,2,1129,396,"Exp Realty Of California, Inc",540000,FOR_SALE,2
377,34725 Alvarado Niles Rd APT 4,Union City,CA,94587,37.58593,-122.018074,529999,1972,0,CONDO,,2,1,798,385,Your Family Realty Center,495000,FOR_SALE,2
378,528 Trinidad Cir,Union City,CA,94587,37.590202,-122.05146,328880,,,MANUFACTURED,296100,3,2,1560,,Legacy Real Estate & Assoc.,153500,FOR_SALE,0
379,4160 Polaris Ave,Union City,CA,94587,37.584618,-122.063835,880000,1974,1794,TOWNHOUSE,952690,4,3,1584,333,Compass,246000,FOR_SALE,0
380,117 Aurora Plz,Union City,CA,94587,37.592342,-122.00384,439000,1985,0,CONDO,444100,2,1,688,335,Coldwell Banker Realty,363000,FOR_SALE,0
381,2139 Eric Ct APT 2,Union City,CA,94587,37.5943,-122.0535,589888,1974,,CONDO,751000,2,1,903,295,Kinetic Real Estate,420000,FOR_SALE,0
382,107 W Bolero Plz #69,Union City,CA,94587,37.592804,-122.00443,570000,1985,38332800,CONDO,,2,2,880,325,E.l.m. Realty Co,,FOR_SALE,1
383,31115 Alvarado Niles Rd,Union City,CA,94587,37.597137,-122.069855,614900,1983,0,CONDO,649400,2,2,1129,369,"Performance Realtors, Inc",505000,FOR_SALE,2
384,33955 Railroad Ave,Union City,CA,94587,37.59551,-122.0195,950000,1908,4791,SINGLE_FAMILY,1061200,2,2,837,,"Exp Realty Of California, Inc",212000,FOR_SALE,3
